Peak ID,A Height,A Volume,B Height,B Volume
216,7450616.0,2991446953.789024,10346615.42505513,10823381885.007908
217,15597824.0,3112107405.8214965,21395018.473674223,4385630248.363913
218,4914567.0,964229781.6265802,7085992.940093976,1300102538.4218335
219,11534946.0,2482877792.0236883,16876841.91470696,2683018244.7509985
220,3771643.25,1112189026.138613,6434826.734778705,2821788346.338557
221,14993116.0,5729360710.380685,15849163.917320082,5791959114.327408
222,17498024.0,5997706171.300403,20566740.292338815,5742404103.446606
223,13933690.0,3819207065.113331,15842177.195422912,3670807202.416871
224,9281504.0,2790352359.7070656,8495294.60439303,2489635839.0980244
225,9479554.0,4060230086.994918,11268467.261325976,6488119108.293094
228,7653963.5,2895443533.6911516,7805340.480875193,7599120114.65553
229,13712787.0,4757863286.595188,12834465.717788687,4138203132.154496
230,12004951.0,3776314010.101998,11101154.003927693,4874061827.936485
231,15934189.0,8163948841.4778,16103393.835459836,7068233938.619439
232,8535983.0,2960534662.7967525,8575410.768185986,2680167475.1805663
233,14449064.0,4002202467.072628,13818720.438912813,3748477654.0671697
234,8231363.0,2804123914.6373596,7938216.363503744,2390128652.9472833
235,8739857.0,2923923282.6673455,8073567.394788088,8093080295.892618
236,9456999.0,3897044006.2417326,9000253.95935827,3722158662.484803
237,13364670.0,4219094870.1147633,13275179.108629404,4041994316.5634346
238,11876943.0,4044032763.1884646,12718540.687251203,3025505097.4260716
239,21093632.0,6062189437.861289,22325372.026571587,5811595432.665478
240,7201209.0,3155425359.653353,6280699.2991860425,2283180850.2365637
241,9564587.0,3663317027.7090373,8739474.947950684,3661731614.9828525
242,18339246.0,5085422698.371437,19005520.148970403,6501897119.715447
243,14880127.0,4454776269.426164,12048525.230809463,4717872353.7216215
244,11056463.0,3715348919.089556,10555218.03989276,3504694997.5254817
245,5773091.5,1760935241.264565,6388007.044084754,2381372463.5574923
246,3581551.0,1578938573.8645916,3135839.1717925193,1017358271.9325708
247,33572916.0,6653375981.209293,41688641.25631621,8009145555.693661
248,11204396.0,4782286059.511855,10470914.005636824,9004804136.94584
250,8071339.0,1360134086.6866813,8286561.0843709055,1214989442.9462824
252,15303875.0,6026421519.9744215,14328157.408452319,7155174276.663257
254,9102948.0,3326710644.449788,12244627.76982887,3604104613.234918
255,3174766.0,350108587.8370634,4791985.2918558605,576866916.3871434
257,5066394.5,15127042693.611809,5339880.451894727,1716491557.8707628
263,4699022.5,959080201.2445388,5976629.55986151,1087136695.7440364
